,Credit_Score,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Telephone_Indicator,Number_of_Dependants,Gender,Time_in_Employment,Employment_Type,Permanent_Employee,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau_Data___Monthly_Other_Co_R,Worst_History_CT,Age,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Worst_status_L6m,Worst_CUrrent_Status,Status_3s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi,PPI,Final_Grade_A,Final_Grade_B,Final_Grade_C,Final_Grade_D,Final_Grade_E,Final_Grade_F,Final_Grade_O,Final_Grade_R,Final_Grade_S,Final_Grade_X,Residential_Status_H,Residential_Status_L,Residential_Status_R,Residential_Status_T,Marital_Status_D,Marital_Status_M,Marital_Status_S,Marital_Status_W,Employment_Status_D,Employment_Status_G,Employment_Status_H,Employment_Status_M,Employment_Status_P,Employment_Status_R,Employment_Status_S,Employment_Status_T,Employment_Status_U,Payment_Method_C,Payment_Method_D,Payment_Method_S,Bankruptcy_Detected__SP__N,Bankruptcy_Detected__SP__T,Bankruptcy_Detected__SP__Y,CIFAS_detected_N,CIFAS_detected_T,CIFAS_detected_Y
7963,928,36,5000.0,9.9,0,52,10,12,1,0,0,81,1,1,6,1,0,1,0,0,1,0,93,500000,399682,447747,2479,0,48,437,0,0,99,0,0,0,0,2,0,0,119,9,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
7964,781,37,3000.0,28.9,0,21,4,14,1,1,1,48,1,1,6,1,0,1,0,1,1,0,144,250000,169278,171550,1066,5,24,171,0,0,99,6,1,1,0,8,0,0,23,4,99,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
7965,813,60,5500.0,22.9,0,18,3,2,1,2,0,48,1,1,3,1,0,1,0,0,1,0,60,308000,0,5258,0,5,39,0,0,0,99,2,1,0,0,4,0,0,53,6,99,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7966,851,84,13000.0,12.4,1,47,8,264,1,1,0,5,1,1,6,1,0,0,0,0,1,0,300,125000,75715,34007,236,1,47,0,0,0,99,2,1,0,0,2,13,0,341,4,99,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
7967,925,60,15000.0,10.9,0,13,2,48,1,0,1,156,1,1,6,1,0,1,0,0,1,0,300,130000,129922,156881,1477,5,43,131,0,0,99,0,1,1,0,4,3,0,270,9,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7968,762,48,2000.0,40.9,0,44,8,55,1,2,0,168,1,1,4,1,0,0,0,0,1,0,168,170000,96977,96977,932,5,38,98,1,25,6,62,0,0,0,2,4,1,0,2,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
7969,934,120,10000.0,11.4,1,23,4,60,1,0,1,18,1,1,6,1,1,1,0,0,1,0,60,177000,158135,186930,762,0,44,160,0,0,99,477,0,0,0,1,5,0,288,9,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7970,943,60,7000.0,11.9,0,22,4,308,1,1,1,163,1,1,6,1,0,1,0,0,1,0,300,114000,68916,73580,856,5,51,70,2,106,55,45,1,0,0,3,25,2,47,5,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7971,818,60,6000.0,22.9,0,12,2,144,1,1,0,42,1,1,6,1,0,0,0,0,1,1,186,92000,66505,66566,1030,5,41,68,0,0,99,9,1,1,0,5,11,0,1,5,99,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
7972,819,18,1600.0,30.9,0,32,5,17,1,0,0,54,1,1,5,1,0,1,0,0,1,0,153,120000,0,491,0,5,25,0,0,0,99,0,0,0,0,3,1,0,5,5,99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
7973,896,60,9000.0,12.9,0,27,4,240,1,0,1,300,1,1,3,1,1,1,0,0,1,1,240,200000,10000,8886,0,4,46,0,0,0,99,26,0,0,0,4,1,0,89,3,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7974,859,49,6000.0,14.9,0,26,4,336,1,0,1,62,1,1,3,1,0,1,0,0,1,0,144,260000,0,5457,0,0,30,0,0,0,99,0,1,1,0,2,6,0,55,7,99,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7975,942,18,1000.0,22.9,0,42,7,48,1,3,1,75,1,1,3,1,0,0,0,0,1,1,144,90000,0,53,0,5,38,0,0,0,99,0,0,0,0,0,0,0,1,2,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7976,904,60,19000.0,10.9,1,60,11,42,1,1,1,96,1,1,6,1,0,1,0,0,1,0,216,300000,129225,156716,1243,5,37,131,0,0,99,0,0,0,0,4,2,0,275,3,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
7977,829,60,6500.0,22.9,0,12,2,49,1,1,1,169,1,1,4,1,1,0,0,0,1,0,121,238000,94829,101445,565,0,41,95,0,0,99,0,5,5,3,2,2,0,82,7,99,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7978,1012,36,7015.0,19.5,1,0,1,144,1,0,1,72,1,1,0,1,1,1,0,0,1,0,372,120000,0,0,0,5,59,0,0,0,99,0,0,0,0,1,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7979,960,12,1000.0,19.9,0,0,1,60,1,4,1,77,1,1,6,1,1,0,0,0,1,1,252,500000,285000,2550,150,5,45,0,0,0,99,0,0,0,0,1,0,0,26,1,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7980,1087,60,7150.0,11.9,1,0,1,36,1,1,1,96,1,1,0,1,0,1,0,0,1,0,240,120000,0,2134,0,5,45,0,0,0,99,0,0,0,0,0,0,0,22,1,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7981,911,48,2695.0,15.5,1,0,1,18,1,3,0,51,0,1,0,1,0,1,0,0,1,0,45,120000,0,278,0,5,42,0,0,0,99,0,0,0,0,2,0,0,3,2,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7982,748,36,8500.0,19.9,0,0,1,12,1,1,1,14,1,1,6,1,0,0,0,0,1,0,60,120000,0,6738,0,0,30,0,0,0,99,0,0,0,0,1,0,0,68,3,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7983,1219,49,42950.0,10.8,1,0,1,12,1,0,1,157,1,1,0,1,0,0,0,0,1,0,137,120000,0,29908,0,0,49,0,0,0,99,0,0,0,0,5,0,0,300,3,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7984,1153,48,9000.0,11.1,1,0,1,240,1,0,1,84,1,1,0,1,0,0,0,0,1,0,360,120000,0,11239,394,5,60,0,0,0,99,0,0,0,0,2,16,0,113,5,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
7985,813,60,5000.0,23.9,0,42,7,11,1,0,1,6,1,1,2,1,0,1,0,0,1,0,108,120000,0,591,0,5,41,0,0,0,99,65,0,0,0,2,0,0,6,3,99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7986,884,36,1000.0,29.9,0,58,11,216,1,1,0,108,1,1,5,1,0,0,0,0,1,1,192,100000,0,16584,284,0,54,0,0,0,99,0,6,6,6,3,11,0,166,4,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7987,881,60,5000.0,19.9,0,23,4,43,1,0,0,38,1,1,6,1,0,1,0,0,1,1,240,130000,235332,235445,1255,5,52,237,0,0,99,0,0,0,0,3,3,0,2,8,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7988,901,60,7000.0,14.9,0,12,2,96,1,1,1,96,1,1,3,1,0,1,0,0,1,0,240,180000,45509,46366,246,5,55,47,0,0,99,0,0,0,0,5,6,0,9,3,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7989,842,30,2500.0,23.9,0,47,8,74,1,0,1,58,1,1,3,1,0,0,0,0,0,0,48,120000,62087,108049,348,5,45,110,0,0,99,0,0,0,0,0,8,0,1,3,99,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7990,723,24,1000.0,44.9,0,10,2,143,1,0,0,60,1,1,2,1,0,1,0,0,0,1,60,120000,0,8389,0,0,24,0,0,0,99,0,1,0,0,4,5,0,84,7,99,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7991,911,120,17000.0,9.9,1,42,7,192,1,0,0,94,1,1,4,1,0,1,0,0,0,0,250,83000,29340,16394,373,0,45,0,0,0,99,12,0,0,0,3,16,0,164,3,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7992,847,60,8000.0,20.9,0,25,4,204,1,0,1,156,1,1,6,1,1,1,0,0,1,0,216,120000,0,18881,565,5,47,0,0,0,99,64,2,0,0,2,15,0,189,9,99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
7993,840,60,9000.0,18.9,0,37,6,95,1,1,0,114,1,1,5,1,0,1,0,0,1,1,326,120000,0,7179,12,0,46,0,0,0,99,0,1,0,0,4,8,0,72,9,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7994,881,60,7000.0,15.4,0,43,7,12,1,0,0,240,1,1,5,1,0,0,0,0,1,1,266,120000,0,14834,143,0,57,0,0,0,99,57,1,0,0,2,0,0,149,5,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7995,924,60,11500.0,9.9,0,44,8,84,1,0,1,138,1,1,6,1,1,1,0,0,1,1,146,110000,57007,105093,791,0,50,85,0,0,99,0,0,0,0,2,7,0,214,9,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7996,889,120,40000.0,12.9,1,10,2,59,1,2,0,104,1,1,6,1,0,1,0,0,1,1,120,190000,143525,212271,1528,4,38,145,0,0,99,0,0,0,0,6,5,0,688,9,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
7997,997,60,7300.0,14.9,0,22,4,71,1,1,1,51,1,1,6,1,0,1,0,0,1,0,218,150000,96464,132363,1220,4,41,120,0,0,99,0,0,0,0,4,6,0,141,9,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
7998,720,26,2500.0,44.9,0,6,1,238,1,0,1,41,1,1,3,1,0,1,0,0,1,0,141,120000,0,3250,0,0,25,0,1,5,28,18,3,1,1,1,0,1,33,3,28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7999,837,60,5000.0,15.9,0,19,3,62,1,1,1,13,1,1,5,1,0,1,0,0,1,0,6,215000,91000,95268,902,5,55,93,0,0,99,0,0,2,0,3,0,0,39,3,99,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8000,780,36,3000.0,28.9,0,0,1,24,1,4,0,59,1,1,5,1,0,1,0,0,1,0,204,120000,0,27301,284,5,40,0,0,0,99,0,1,1,0,4,1,0,274,9,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
8001,874,60,5500.0,18.9,0,15,3,434,1,0,1,13,1,1,4,1,0,1,0,0,1,0,154,120000,0,3824,0,0,37,0,0,0,99,0,0,0,0,1,3,0,39,2,99,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8002,806,48,5097.0,33.4,1,41,7,24,1,0,1,2,1,1,0,1,0,0,0,0,0,0,60,120000,0,148,0,5,22,0,1,4,3,7,0,1,0,2,1,1,2,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8003,967,42,5300.0,22.8,1,44,8,42,1,0,1,84,1,1,0,1,0,0,0,0,0,0,180,120000,0,0,0,5,44,0,0,0,99,0,0,0,0,2,4,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8004,531,36,2879.12,37.9,1,37,6,36,1,0,1,18,1,1,0,1,0,0,0,0,1,0,32,120000,0,555,0,5,21,0,0,0,99,0,0,6,5,1,0,0,6,3,99,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8005,689,36,3538.94,38.5,1,13,2,12,1,1,1,36,1,1,0,1,0,0,0,0,0,0,240,120000,0,122333,774,5,34,122,0,0,99,15,3,3,1,1,0,0,16,5,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
8006,595,48,7690.0,30.1,1,44,8,60,0,2,1,1,1,1,0,1,0,0,0,0,1,0,120,120000,0,100885,559,1,38,80,1,8,44,5,4,4,6,1,5,1,224,7,44,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8007,529,48,4131.0,30.5,1,16,3,10,0,0,1,24,1,1,0,1,0,0,0,0,0,0,48,120000,0,1329,0,5,25,0,0,0,99,3,5,0,3,9,0,0,14,5,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8008,648,48,7574.0,30.9,1,46,8,252,1,0,0,11,1,1,0,1,1,1,0,0,1,1,120,120000,0,12060,365,5,45,0,1,5,39,217,6,6,6,5,0,1,121,3,39,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8009,972,60,5000.0,12.9,0,13,2,45,1,0,0,143,1,1,5,1,0,1,0,0,1,0,203,135000,94689,97140,590,5,52,96,0,0,99,0,0,0,0,5,0,0,25,9,99,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8010,763,120,12000.0,13.9,1,49,9,46,1,0,0,64,1,1,5,1,1,1,0,0,1,0,250,161000,53602,59876,430,0,45,55,0,0,99,0,2,1,0,2,0,0,68,6,99,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8011,913,36,3000.0,11.9,1,6,1,38,1,2,0,84,1,1,5,1,0,1,0,0,1,1,240,267000,177539,180994,1044,5,33,179,0,0,99,90,1,1,0,5,2,0,35,8,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
8012,1015,120,10000.0,9.9,1,13,2,192,1,0,1,192,1,1,5,1,0,0,0,0,1,1,300,197000,93277,96974,378,5,54,95,1,3,44,4,2,0,0,3,1,1,37,8,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
8013,797,60,2000.0,29.9,0,46,8,84,1,2,1,36,1,1,4,1,1,1,0,0,1,0,216,120000,0,2027,0,5,34,0,0,0,99,12,0,0,0,2,6,0,21,2,99,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8014,910,60,9000.0,11.9,0,46,8,395,1,0,1,377,1,1,5,1,1,1,0,0,1,0,480,42468,0,8555,0,5,60,0,0,0,99,0,0,0,0,4,25,0,86,5,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
8015,851,60,4000.0,18.9,0,21,4,1,1,0,1,301,1,1,6,1,1,0,0,0,1,0,301,180000,135000,12955,0,0,55,0,0,0,99,0,0,1,0,4,0,0,130,3,99,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
