,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Status_3s_L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi
4069,81,0,0,99,0,0,1,0,178,6,99
4070,44,0,0,99,11,0,7,0,63,6,99
4071,218,0,0,99,0,0,13,0,218,6,99
4072,211,0,0,99,0,0,0,0,53,5,99
4073,83,0,0,99,0,0,2,0,10,4,99
4074,60,0,0,99,0,0,1,0,123,7,99
4075,119,0,0,99,0,1,0,0,1,4,99
4076,0,0,0,99,133,0,16,0,11,4,99
4077,0,1,5,25,0,0,15,1,105,5,25
4078,0,0,0,99,0,0,6,0,60,3,99
4079,0,0,0,99,15,0,0,0,19,3,99
4080,99,0,0,99,0,0,4,0,28,4,99
4081,0,0,0,99,0,0,4,0,98,5,99
4082,47,0,0,99,2,0,18,0,440,9,99
4083,0,0,0,99,0,0,31,0,28,3,99
4084,72,0,0,99,31,0,5,0,553,7,99
4085,0,0,0,99,0,0,5,0,158,3,99
4086,0,0,0,99,0,1,2,0,24,6,99
4087,99,0,0,99,6,0,1,0,313,9,99
4088,79,0,0,99,131,0,1,0,102,7,99
4089,0,0,0,99,0,0,3,0,46,3,99
4090,0,0,0,99,0,0,3,0,1,2,99
4091,0,0,0,99,0,0,0,0,54,8,99
4092,161,0,0,99,0,0,1,0,101,9,99
4093,100,0,0,99,0,0,0,0,9,8,99
4094,0,0,0,99,9,0,21,0,64,4,99
4095,0,0,0,99,0,0,3,0,15,8,99
4096,67,0,0,99,0,0,3,0,20,8,99
4097,0,0,0,99,0,0,7,0,72,3,99
4098,211,0,0,99,0,0,3,0,214,9,99
4099,84,0,0,99,0,0,2,0,129,6,99
4100,106,0,0,99,11,0,6,0,21,9,99
4101,63,0,0,99,0,0,6,0,46,9,99
4102,0,2,8,43,15,0,1,1,381,9,43
4103,0,0,0,99,0,0,0,0,82,3,99
4104,96,0,0,99,12,0,18,0,34,4,99
4105,0,1,7,17,22,7,0,1,40,7,17
4106,80,0,0,99,0,0,28,0,255,9,99
4107,105,1,13,36,10,0,3,1,226,7,36
4108,38,1,4,7,2,4,18,1,88,5,7
4109,0,0,0,99,0,0,2,0,116,8,99
4110,122,0,0,99,0,0,18,0,95,6,99
4111,77,0,0,99,0,0,0,0,16,4,99
4112,0,0,0,99,0,0,0,0,9,1,99
4113,0,2,10,28,18,0,15,2,26,3,28
4114,152,0,0,99,0,0,1,0,104,7,99
4115,243,0,0,99,146,0,2,0,151,8,99
4116,0,0,0,99,0,0,2,0,25,3,99
4117,13,0,0,99,22,0,15,0,170,6,99
4118,30,1,203,67,0,0,11,1,93,9,67
4119,69,0,0,99,0,0,2,0,309,4,99
4120,0,0,0,99,0,0,16,0,146,7,99
4121,78,0,0,99,16,0,0,0,84,8,99
4122,0,0,0,99,0,0,0,0,64,5,99
4123,38,0,0,99,2,0,0,0,124,7,99
4124,0,0,0,99,0,0,0,0,42,4,99
4125,83,0,0,99,81,0,1,0,47,7,99
4126,0,0,0,99,0,0,3,0,238,9,99
4127,102,0,0,99,0,0,6,0,71,8,99
4128,0,0,0,99,0,0,14,0,62,3,99
4129,137,2,23,11,17,9,17,2,221,9,11
4130,0,0,0,99,0,0,0,0,10,3,99
4131,0,0,0,99,0,0,0,0,20,3,99
4132,71,0,0,99,50,0,5,0,46,3,99
4133,120,0,0,99,13,0,0,0,390,7,99
4134,0,0,0,99,1,0,0,0,112,3,99
4135,28,0,0,99,0,0,6,0,255,9,99
4136,0,0,0,99,0,0,0,0,169,5,99
4137,96,0,0,99,11,0,6,0,161,9,99
4138,117,0,0,99,0,0,0,0,75,9,99
4139,127,0,0,99,33,2,6,0,469,9,99
4140,165,0,0,99,0,0,1,0,193,9,99
4141,0,0,0,99,0,0,0,0,93,8,99
4142,61,0,0,99,0,0,6,0,280,6,99
4143,0,0,0,99,0,1,4,0,9,2,99
4144,0,0,0,99,0,0,21,0,269,7,99
4145,1,0,0,99,0,0,21,0,11,2,99
4146,125,3,21,24,785,3,9,3,63,4,24
4147,115,0,0,99,13,0,3,0,279,6,99
4148,44,0,0,99,11,0,7,0,63,6,99
4149,60,0,0,99,0,0,13,0,95,6,99
4150,113,0,0,99,0,0,7,0,11,6,99
4151,177,0,0,99,0,0,15,0,228,9,99
4152,44,0,0,99,0,0,24,0,50,3,99
4153,0,0,0,99,0,0,6,0,39,3,99
4154,0,0,0,99,0,0,27,0,245,9,99
4155,0,0,0,99,0,0,8,0,139,9,99
4156,10,0,0,99,0,0,14,0,226,6,99
4157,0,0,0,99,0,0,5,0,44,3,99
4158,96,0,0,99,4,0,0,0,76,7,99
4159,0,0,0,99,35,1,1,0,63,7,99
4160,59,0,0,99,0,6,0,0,264,4,99
4161,0,0,0,99,0,0,31,0,49,4,99
4162,0,0,0,99,0,9,2,0,59,3,99
4163,295,0,0,99,0,0,14,0,93,9,99
4164,74,0,0,99,0,0,9,0,1,2,99
