,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Status_3s_L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi
0,64,1,5,16,0,0,10,1,18,6,16
1,13,0,0,99,0,0,22,0,203,8,99
2,19,2,30,50,266,0,21,1,87,7,50
3,160,0,0,99,1,0,0,0,229,9,99
4,62,0,0,99,0,0,13,0,38,6,99
5,168,0,0,99,0,0,1,0,525,9,99
6,80,0,0,99,11,0,21,0,120,9,99
7,75,4,96,7,175,0,8,4,113,8,7
8,151,0,0,99,0,0,8,0,95,9,99
9,0,0,0,99,0,0,3,0,28,4,99
10,99,0,0,99,27,0,3,0,120,7,99
11,68,0,0,99,0,0,1,0,188,8,99
12,130,0,0,99,0,0,0,0,292,8,99
13,0,0,0,99,0,0,0,0,29,1,99
14,257,0,0,99,0,0,20,0,16,9,99
15,150,0,0,99,0,1,1,0,120,8,99
16,0,0,0,99,0,1,28,0,314,8,99
17,241,1,10,27,226,0,0,1,402,6,27
18,0,1,3,47,0,3,3,1,8,5,47
19,148,0,0,99,0,0,16,0,240,9,99
20,193,0,0,99,76,2,0,0,281,9,99
21,135,0,0,99,0,0,10,0,751,9,99
22,105,0,0,99,27,0,10,0,41,3,99
23,40,0,0,99,0,0,13,0,13,6,99
24,0,0,0,99,0,0,0,0,0,0,99
25,0,0,0,99,0,0,7,0,164,2,99
26,115,0,0,99,0,0,0,0,39,9,99
27,0,0,0,99,0,0,8,0,85,8,99
28,85,2,146,12,64,0,8,2,62,3,12
29,0,0,0,99,0,0,3,0,20,3,99
30,0,1,6,72,0,0,24,1,204,6,72
31,83,1,2,25,25,0,0,0,50,5,99
32,60,0,0,99,334,0,6,0,90,3,99
33,0,0,0,99,0,0,0,0,49,8,99
34,182,0,0,99,0,0,0,0,195,3,99
35,0,0,0,99,0,0,10,0,688,9,99
36,32,0,0,99,0,1,8,0,6,6,99
37,75,0,0,99,0,0,0,0,385,9,99
38,0,2,12,43,14,0,13,1,158,1,64
39,0,0,0,99,25,6,10,0,107,9,99
40,124,0,0,99,113,2,0,0,204,5,99
41,0,0,0,99,6,0,0,0,72,9,99
42,141,0,0,99,0,0,1,0,267,9,99
43,81,0,0,99,0,0,4,0,142,8,99
44,0,0,0,99,0,0,9,0,11,9,99
45,115,0,0,99,0,0,0,0,59,4,99
46,149,0,0,99,0,0,1,0,70,6,99
47,97,0,0,99,0,0,6,0,169,7,99
48,73,0,0,99,0,0,13,0,131,8,99
49,0,0,0,99,0,0,30,0,56,8,99
50,58,0,0,99,0,0,5,0,26,4,99
51,48,2,11,61,2,0,28,2,732,9,61
52,76,1,3,14,125,1,14,0,328,9,99
53,298,0,0,99,0,0,0,0,761,9,99
54,77,0,0,99,9,0,1,0,282,9,99
55,0,0,0,99,5,0,10,0,85,9,99
56,0,0,0,99,0,0,3,0,23,2,99
57,0,0,0,99,0,0,0,0,8,1,99
58,0,0,0,99,0,0,0,0,182,4,99
59,94,1,56,41,123,0,2,1,83,4,41
60,0,0,0,99,2,0,0,0,347,7,99
61,159,1,1,6,20,0,7,0,67,5,99
62,0,0,0,99,0,0,0,0,79,2,99
63,0,1,4,11,0,0,0,0,143,9,99
64,0,0,0,99,0,0,0,0,19,8,99
65,70,2,30,4,16,3,2,2,95,4,4
66,0,1,3,55,7,0,11,1,13,3,55
67,0,0,0,99,0,0,0,0,449,9,99
68,61,1,4,51,9,0,1,1,216,8,51
69,87,1,3,18,0,0,0,1,68,3,18
70,93,0,0,99,0,0,0,0,202,9,99
71,0,0,0,99,0,0,0,0,58,4,99
72,0,0,0,99,10,0,3,0,44,7,99
73,0,0,0,99,16,2,0,0,10,4,99
74,0,0,0,99,0,0,0,0,3,3,99
75,0,1,9,59,131,1,8,1,6,2,59
76,69,0,0,99,0,0,5,0,5,5,99
77,0,0,0,99,0,0,0,0,13,2,99
78,358,0,0,99,145,0,4,0,105,8,99
79,0,0,0,99,7,0,0,0,3,2,99
80,498,0,0,99,0,0,1,0,293,9,99
81,102,0,0,99,0,0,2,0,287,8,99
82,0,0,0,99,0,0,0,0,257,9,99
83,110,0,0,99,0,0,0,0,56,4,99
84,41,0,0,99,0,0,1,0,43,9,99
85,58,0,0,99,0,1,10,0,53,7,99
86,116,0,0,99,0,0,12,0,83,5,99
87,54,1,3,57,0,0,2,1,79,2,57
88,92,0,0,99,0,2,4,0,74,5,99
89,47,0,0,99,0,0,3,0,130,4,99
90,0,0,0,99,0,0,0,0,61,4,99
91,0,0,0,99,0,0,0,0,256,3,99
92,62,0,0,99,180,0,0,0,106,6,99
93,113,0,0,99,0,0,9,0,257,9,99
94,48,0,0,99,0,0,1,0,4,9,99
95,180,0,0,99,0,0,4,0,95,8,99
96,0,0,0,99,0,0,4,0,24,3,99
97,203,0,0,99,0,0,18,0,113,9,99
98,0,0,0,99,0,1,0,0,173,3,99
99,47,0,0,99,0,0,3,0,194,9,99
100,0,1,10,12,27,0,0,1,2,1,12
101,125,3,15,43,7,0,4,3,7,6,43
102,0,0,0,99,1,0,1,0,235,9,99
103,0,0,0,99,11,0,5,0,151,4,99
104,80,0,0,99,0,0,28,0,465,9,99
105,0,0,0,99,17,0,5,0,136,7,99
106,88,0,0,99,2,1,9,0,93,7,99
107,0,0,0,99,56,0,0,0,106,6,99
108,82,0,0,99,0,0,6,0,9,5,99
109,0,0,0,99,0,0,3,0,70,3,99
110,46,0,0,99,1,0,3,0,23,5,99
111,25,0,0,99,0,0,1,0,312,9,99
112,79,0,0,99,0,0,3,0,79,9,99
113,115,0,0,99,0,0,0,0,28,9,99
114,101,0,0,99,0,0,0,0,58,5,99
115,0,0,0,99,0,0,4,0,180,7,99
116,0,0,0,99,10,0,4,0,1,2,99
117,71,0,0,99,3,0,28,0,284,9,99
118,47,0,0,99,384,1,0,0,11,5,99
119,97,0,0,99,12,0,4,0,303,8,99
120,0,0,0,99,0,0,15,0,236,6,99
121,0,0,0,99,219,0,5,0,2,1,99
122,0,0,0,99,30,0,0,0,27,6,99
123,114,1,117,47,10,0,25,0,0,1,99
124,83,0,0,99,2,0,2,0,45,6,99
125,0,0,0,99,0,0,9,0,2,4,99
126,148,0,0,99,0,0,16,0,240,9,99
127,72,0,0,99,0,0,16,0,48,7,99
128,0,0,0,99,0,0,0,0,86,7,99
129,0,0,0,99,7,3,0,0,13,6,99
130,0,0,0,99,0,0,0,0,75,7,99
131,108,0,0,99,0,0,0,0,13,8,99
132,0,0,0,99,0,0,21,0,108,5,99
133,71,0,0,99,0,0,5,0,84,9,99
134,0,0,0,99,12,0,0,0,4,2,99
135,44,0,0,99,0,0,2,0,105,7,99
136,115,0,0,99,0,0,0,0,26,3,99
137,41,0,0,99,0,0,17,0,5,3,99
138,80,0,0,99,0,0,9,0,70,8,99
139,68,0,0,99,12,0,2,0,60,3,99
140,63,0,0,99,0,1,13,0,119,9,99
141,0,0,0,99,0,0,25,0,237,5,99
142,103,0,0,99,0,0,2,0,40,8,99
143,0,0,0,99,2,0,17,0,190,7,99
144,26,0,0,99,0,0,6,0,106,9,99
145,0,0,0,99,0,0,1,0,43,3,99
146,205,0,0,99,0,0,1,0,121,9,99
147,17,0,0,99,0,0,25,0,23,5,99
148,0,0,0,99,14,1,4,0,104,4,99
149,0,0,0,99,0,0,12,0,76,5,99
150,0,0,0,99,0,0,5,0,148,7,99
151,0,0,0,99,0,0,26,0,140,9,99
152,79,0,0,99,0,0,8,0,110,9,99
153,20,0,0,99,0,0,8,0,27,5,99
154,22,0,0,99,0,0,0,0,178,4,99
155,71,0,0,99,0,0,8,0,121,4,99
156,144,0,0,99,125,0,7,0,281,4,99
157,0,0,0,99,0,0,5,0,37,6,99
158,69,0,0,99,0,0,1,0,329,9,99
159,68,0,0,99,7,0,1,0,43,4,99
160,140,1,3,29,19,0,33,1,1,3,29
161,0,0,0,99,0,0,4,0,274,4,99
162,0,2,7,20,34,2,27,1,36,8,24
163,0,0,0,99,2,0,1,0,111,5,99
164,0,0,0,99,0,0,2,0,86,4,99
165,0,0,0,99,0,0,16,0,87,3,99
166,0,0,0,99,55,1,0,0,115,9,99
167,0,0,0,99,0,0,2,0,149,2,99
168,56,0,0,99,0,9,24,0,79,6,99
169,64,0,0,99,0,0,18,0,123,5,99
170,190,0,0,99,0,0,5,0,298,9,99
171,0,0,0,99,3,0,5,0,73,6,99
172,120,3,42,8,60,0,8,1,44,7,8
173,0,0,0,99,0,0,0,0,23,3,99
174,93,0,0,99,0,0,10,0,208,9,99
175,0,0,0,99,42,1,17,0,142,3,99
176,89,1,9,19,0,0,0,1,0,1,19
177,0,6,49,2,38,0,9,6,14,3,2
178,241,0,0,99,0,0,0,0,682,7,99
179,0,1,2,29,0,0,1,1,157,6,29
180,0,0,0,99,20,0,0,0,3,2,99
181,0,0,0,99,0,0,0,0,31,5,99
182,35,0,0,99,12,0,2,0,48,9,99
183,0,0,0,99,3,0,0,0,1,1,99
184,0,2,4,58,2,0,1,1,15,2,65
185,0,0,0,99,0,0,21,0,244,9,99
186,0,0,0,99,31,0,2,0,188,9,99
187,171,0,0,99,0,0,3,0,98,9,99
188,161,0,0,99,0,0,0,0,510,9,99
189,200,0,0,99,0,0,1,0,39,4,99
190,217,0,0,99,0,0,8,0,330,5,99
191,83,0,0,99,0,0,4,0,224,5,99
192,0,1,14,69,0,0,6,1,59,2,69
193,149,0,0,99,0,0,0,0,9,5,99
194,128,2,27,38,297,0,18,0,1,2,99
195,76,0,0,99,2,0,2,0,34,9,99
196,0,0,0,99,0,0,3,0,72,9,99
197,0,0,0,99,0,0,10,0,34,4,99
198,99,0,0,99,0,1,0,0,164,6,99
199,116,0,0,99,0,0,8,0,368,9,99
200,59,0,0,99,0,0,21,0,69,5,99
201,0,0,0,99,0,0,19,0,38,1,99
202,0,3,93,34,74,0,10,3,44,6,34
203,0,0,0,99,0,0,12,0,284,6,99
204,88,0,0,99,0,0,22,0,266,9,99
205,0,1,18,34,41,0,3,1,4,3,34
206,14,0,0,99,29,0,34,0,72,5,99
207,124,0,0,99,0,0,22,0,162,9,99
208,128,0,0,99,0,0,21,0,11,6,99
209,90,1,5,33,9,0,2,1,97,6,33
210,72,0,0,99,0,0,0,0,101,8,99
211,26,0,0,99,13,0,2,0,45,7,99
212,99,0,0,99,0,0,0,0,57,9,99
213,0,0,0,99,0,0,14,0,65,7,99
214,92,1,9,42,0,0,15,1,442,5,42
215,73,0,0,99,317,0,5,0,53,4,99
216,208,0,0,99,6,0,0,0,673,6,99
217,29,0,0,99,0,0,8,0,212,4,99
218,101,0,0,99,0,0,0,0,194,7,99
219,29,0,0,99,0,0,14,0,289,9,99
220,93,0,0,99,29,2,15,0,41,3,99
221,55,0,0,99,0,0,2,0,4,5,99
222,79,0,0,99,0,0,0,0,131,5,99
223,286,0,0,99,0,1,9,0,220,9,99
224,94,0,0,99,0,0,1,0,269,9,99
225,0,1,3,29,3,0,1,1,31,9,29
226,198,0,0,99,0,0,0,0,254,9,99
227,0,0,0,99,0,0,1,0,183,6,99
228,25,0,0,99,56,4,28,0,39,5,99
229,50,0,0,99,0,0,25,0,141,9,99
230,0,0,0,99,0,0,0,0,69,2,99
231,80,0,0,99,0,0,25,0,552,9,99
232,0,0,0,99,0,0,0,0,22,2,99
233,91,1,4,26,290,0,13,0,1,5,99
234,172,1,12,71,28,0,2,0,123,7,99
235,99,0,0,99,0,0,4,0,285,9,99
236,64,1,13,59,22,8,23,1,189,7,59
237,0,0,0,99,0,0,22,0,62,4,99
238,133,0,0,99,0,0,3,0,368,9,99
239,105,0,0,99,0,0,1,0,133,9,99
240,0,0,0,99,0,0,2,0,100,8,99
241,99,0,0,99,2,0,2,0,32,9,99
242,73,1,45,20,0,0,2,1,585,9,20
243,0,1,3,3,0,8,9,1,107,5,3
244,92,0,0,99,30,0,9,0,10,5,99
245,111,0,0,99,3,0,13,0,97,6,99
246,0,0,0,99,0,0,12,0,20,6,99
247,52,0,0,99,0,0,6,0,99,9,99
248,45,0,0,99,0,2,5,0,131,7,99
249,0,0,0,99,14,0,16,0,93,9,99
250,0,0,0,99,0,0,0,0,33,5,99
251,74,0,0,99,0,0,0,0,1,5,99
252,82,1,1,8,0,2,4,0,228,7,99
253,251,1,4,68,0,0,0,0,246,8,99
254,23,1,3,71,4,2,15,1,119,9,71
255,100,0,0,99,0,0,9,0,104,8,99
256,0,0,0,99,3,0,1,0,37,3,99
257,0,0,0,99,0,0,0,0,156,8,99
258,67,0,0,99,0,0,0,0,130,7,99
259,0,0,0,99,13,0,11,0,132,9,99
260,73,0,0,99,0,0,1,0,115,9,99
261,61,0,0,99,0,0,6,0,120,6,99
262,0,0,0,99,0,0,28,0,71,4,99
263,0,0,0,99,0,0,6,0,107,5,99
264,181,0,0,99,129,0,1,0,119,7,99
265,67,0,0,99,97,0,7,0,38,8,99
266,137,0,0,99,0,0,1,0,107,9,99
267,97,0,0,99,0,0,5,0,769,8,99
268,118,1,5,46,0,0,5,1,171,7,46
269,0,0,0,99,0,1,6,0,212,9,99
270,113,0,0,99,182,5,2,0,17,6,99
271,0,0,0,99,10,4,11,0,123,4,99
272,68,0,0,99,0,0,6,0,258,9,99
273,57,0,0,99,3,0,3,0,175,9,99
274,56,3,156,21,10,0,4,3,93,3,21
275,73,0,0,99,1,0,8,0,203,9,99
276,0,0,0,99,0,0,21,0,166,4,99
277,33,0,0,99,57,0,8,0,302,5,99
278,0,0,0,99,0,0,18,0,86,2,99
279,21,0,0,99,0,0,30,0,29,9,99
280,0,0,0,99,0,0,21,0,99,4,99
281,78,0,0,99,0,0,2,0,171,7,99
282,167,0,0,99,0,0,5,0,236,9,99
283,399,1,4,62,85,0,9,1,204,9,62
284,133,0,0,99,0,0,2,0,26,6,99
285,89,2,999,4,17,0,0,2,5,4,4
286,0,0,0,99,0,0,0,0,1,1,99
287,0,0,0,99,111,0,0,0,140,6,99
288,0,0,0,99,0,0,0,0,126,2,99
289,152,0,0,99,271,1,1,0,379,8,99
290,60,0,0,99,0,0,1,0,182,3,99
291,0,0,0,99,6,0,0,0,74,3,99
292,0,0,0,99,0,0,5,0,9,2,99
293,87,0,0,99,0,0,0,0,75,7,99
294,0,0,0,99,0,0,0,0,140,4,99
295,64,2,22,62,4,0,22,2,225,8,62
296,145,0,0,99,0,0,17,0,357,9,99
297,72,0,0,99,0,0,3,0,129,7,99
298,45,0,0,99,0,0,21,0,81,9,99
299,0,0,0,99,0,0,3,0,52,2,99
300,0,0,0,99,29,0,3,0,103,9,99
301,77,1,2,33,84,0,11,1,98,5,33
302,54,0,0,99,0,0,16,0,211,3,99
303,0,0,0,99,11,0,18,0,77,2,99
304,80,0,0,99,2,0,12,0,107,7,99
305,37,0,0,99,0,0,1,0,26,9,99
306,143,0,0,99,0,0,11,0,214,9,99
307,98,0,0,99,0,0,0,0,118,8,99
308,0,0,0,99,0,0,0,0,93,5,99
309,147,0,0,99,138,6,6,0,86,9,99
310,139,0,0,99,0,0,4,0,77,9,99
311,50,0,0,99,1,0,0,0,9,3,99
312,110,1,17,8,10,0,5,1,18,8,8
313,115,0,0,99,77,0,3,0,35,8,99
314,0,1,7,54,34,0,3,1,6,4,54
315,161,0,0,99,0,0,1,0,23,8,99
316,78,0,0,99,5,0,0,0,1,2,99
317,0,0,0,99,0,0,2,0,150,1,99
318,0,0,0,99,0,0,32,0,132,9,99
319,0,0,0,99,14,9,0,0,226,7,99
320,0,0,0,99,0,0,0,0,98,7,99
321,38,1,5,64,0,0,3,1,26,6,64
322,0,0,0,99,19,0,23,0,105,2,99
323,189,0,0,99,0,0,8,0,849,9,99
324,57,0,0,99,0,0,0,0,88,7,99
325,0,0,0,99,0,0,5,0,112,6,99
326,81,0,0,99,0,0,2,0,1,2,99
327,88,0,0,99,0,0,4,0,94,4,99
328,0,0,0,99,0,0,0,0,60,4,99
329,0,0,0,99,0,3,10,0,125,8,99
330,66,0,0,99,0,0,4,0,98,8,99
331,0,0,0,99,0,0,3,0,153,8,99
332,45,1,5,9,9,2,9,1,214,8,9
333,73,0,0,99,0,0,12,0,81,9,99
334,29,0,0,99,0,0,14,0,290,9,99
335,86,0,0,99,0,0,3,0,76,7,99
336,95,1,37,6,0,0,2,1,45,7,6
337,0,0,0,99,0,0,10,0,224,7,99
338,82,0,0,99,0,0,2,0,51,8,99
339,0,0,0,99,0,0,27,0,46,2,99
340,0,0,0,99,0,0,4,0,296,9,99
341,0,0,0,99,5,0,14,0,68,7,99
342,0,0,0,99,0,0,0,0,149,6,99
343,132,0,0,99,14,0,1,0,269,9,99
344,108,0,0,99,107,0,14,0,74,9,99
345,0,0,0,99,0,0,6,0,51,7,99
346,58,0,0,99,0,0,6,0,245,7,99
347,98,0,0,99,0,0,14,0,261,9,99
348,0,0,0,99,0,0,27,0,50,9,99
349,134,0,0,99,0,0,2,0,44,8,99
350,74,0,0,99,23,0,4,0,30,3,99
351,56,1,19,23,23,0,3,1,37,5,23
352,0,0,0,99,15,0,3,0,104,2,99
353,0,0,0,99,0,0,2,0,145,9,99
354,63,0,0,99,6,0,7,0,73,3,99
355,0,0,0,99,0,3,14,0,56,4,99
356,0,0,0,99,0,0,3,0,35,3,99
357,241,0,0,99,0,0,1,0,115,9,99
358,0,0,0,99,0,4,3,0,126,6,99
359,0,0,0,99,0,0,13,0,415,9,99
360,0,0,0,99,0,0,21,0,256,7,99
361,26,0,0,99,0,0,0,0,110,4,99
362,136,0,0,99,0,0,3,0,123,7,99
363,220,0,0,99,0,0,2,0,75,6,99
364,0,0,0,99,0,0,17,0,76,4,99
365,76,0,0,99,28,0,5,0,114,7,99
366,0,0,0,99,0,0,2,0,4,3,99
367,87,0,0,99,0,0,0,0,75,7,99
368,177,0,0,99,0,0,1,0,73,7,99
369,0,0,0,99,0,0,20,0,96,2,99
370,0,0,0,99,34,0,14,0,90,5,99
371,133,0,0,99,0,0,9,0,221,8,99
372,0,0,0,99,0,0,1,0,158,8,99
373,0,0,0,99,0,0,12,0,103,3,99
374,0,0,0,99,0,0,5,0,166,8,99
375,0,0,0,99,39,0,3,0,198,8,99
376,49,1,15,61,28,0,21,0,162,6,99
377,55,0,0,99,0,0,14,0,104,9,99
378,41,0,0,99,0,0,13,0,3,4,99
379,58,1,28,50,43,0,8,1,45,5,50
380,65,0,0,99,0,0,22,0,102,5,99
381,34,0,0,99,0,0,7,0,56,7,99
382,93,0,0,99,0,0,11,0,126,9,99
383,122,0,0,99,0,0,1,0,107,6,99
384,0,0,0,99,0,0,0,0,20,2,99
385,0,1,6,66,51,0,6,0,35,5,99
386,54,0,0,99,0,0,0,0,140,9,99
387,77,0,0,99,9,0,1,0,282,9,99
388,41,0,0,99,0,0,21,0,111,9,99
389,0,0,0,99,0,0,1,0,74,9,99
390,147,0,0,99,0,0,0,0,36,6,99
391,64,0,0,99,0,0,9,0,95,8,99
392,0,0,0,99,0,0,16,0,34,5,99
393,89,4,126,7,218,0,23,4,162,3,7
394,0,0,0,99,0,0,0,0,0,0,99
395,0,0,0,99,0,0,0,0,0,0,99
396,62,0,0,99,0,0,5,0,117,7,99
397,106,0,0,99,0,0,21,0,336,9,99
398,160,0,0,99,1,0,0,0,211,9,99
399,90,0,0,99,0,1,10,0,78,9,99
400,150,0,0,99,0,0,1,0,210,9,99
401,83,0,0,99,0,0,3,0,170,8,99
402,37,0,0,99,0,0,1,0,48,5,99
403,0,0,0,99,8,0,0,0,1,1,99
404,0,1,1,38,1,0,1,1,162,9,38
405,0,0,0,99,0,0,1,0,85,6,99
406,0,0,0,99,1,0,3,0,3,2,99
407,0,0,0,99,19,0,0,0,1,1,99
408,0,0,0,99,38,0,1,0,0,0,99
409,213,0,0,99,0,0,3,0,21,9,99
410,0,0,0,99,3,0,7,0,49,2,99
411,172,0,0,99,215,0,7,0,66,8,99
412,0,1,3,39,3,0,12,1,5,1,39
413,118,0,0,99,0,0,2,0,234,5,99
414,80,0,0,99,0,0,7,0,6,5,99
415,0,0,0,99,0,0,0,0,213,9,99
416,101,0,0,99,0,0,8,0,20,3,99
417,52,0,0,99,0,0,3,0,72,9,99
418,96,1,8,37,26,0,31,1,109,9,37
419,60,1,96,29,0,5,7,1,59,9,29
420,130,3,119,61,235,2,6,2,109,8,61
421,0,0,0,99,4,0,13,0,33,4,99
422,121,0,0,99,0,0,10,0,425,9,99
423,151,0,0,99,0,0,0,0,252,5,99
424,186,0,0,99,395,9,4,0,236,9,99
425,26,0,0,99,0,0,6,0,6,6,99
426,0,2,84,22,3,0,18,2,32,5,22
427,0,0,0,99,3,0,20,0,68,6,99
428,0,0,0,99,0,0,13,0,105,3,99
429,164,0,0,99,0,0,0,0,360,9,99
430,0,0,0,99,0,0,0,0,4,2,99
431,143,0,0,99,55,2,1,0,95,7,99
432,119,0,0,99,2,0,0,0,220,9,99
433,0,0,0,99,0,0,4,0,67,9,99
434,166,0,0,99,13,0,0,0,10,4,99
435,0,1,4,42,37,2,5,1,73,3,42
436,115,0,0,99,0,0,0,0,56,4,99
437,8,0,0,99,15,0,0,0,13,5,99
438,74,0,0,99,169,0,5,0,415,7,99
439,45,0,0,99,0,0,9,0,36,9,99
440,58,0,0,99,0,0,6,0,103,5,99
441,131,0,0,99,0,0,1,0,28,5,99
442,102,0,0,99,0,0,1,0,382,9,99
443,0,1,3,48,0,0,0,1,306,4,48
444,48,0,0,99,0,0,5,0,233,9,99
445,0,0,0,99,6,0,0,0,27,8,99
446,48,0,0,99,0,0,5,0,233,9,99
447,57,0,0,99,0,0,2,0,210,5,99
448,0,0,0,99,0,0,0,0,158,8,99
449,0,0,0,99,21,0,0,0,48,2,99
450,122,0,0,99,0,0,10,0,140,9,99
451,0,0,0,99,0,0,27,0,10,2,99
452,138,0,0,99,0,0,15,0,443,9,99
453,31,0,0,99,0,0,1,0,96,7,99
454,0,0,0,99,5,1,13,0,55,5,99
455,92,0,0,99,0,0,2,0,232,5,99
456,149,0,0,99,0,0,13,0,542,9,99
457,94,0,0,99,0,0,5,0,27,8,99
458,108,0,0,99,0,0,0,0,320,6,99
459,89,0,0,99,0,0,8,0,1,2,99
460,77,2,4,6,9,4,0,2,327,6,6
461,0,0,0,99,0,0,25,0,61,3,99
462,0,0,0,99,0,0,0,0,398,2,99
463,47,0,0,99,0,0,9,0,239,9,99
464,116,0,0,99,58,4,5,0,39,7,99
465,137,0,0,99,0,0,5,0,198,9,99
466,148,0,0,99,11,0,0,0,4,2,99
467,37,0,0,99,0,0,11,0,1,4,99
468,148,0,0,99,0,0,0,0,557,9,99
469,79,0,0,99,0,1,21,0,302,9,99
470,0,0,0,99,3,0,1,0,87,9,99
471,94,0,0,99,0,6,4,0,73,8,99
472,0,0,0,99,0,0,3,0,5,6,99
473,56,0,0,99,0,1,4,0,439,5,99
474,0,0,0,99,0,0,1,0,30,5,99
475,106,0,0,99,1,0,2,0,59,3,99
476,0,0,0,99,44,0,0,0,11,9,99
477,119,0,0,99,0,0,2,0,70,4,99
478,220,0,0,99,0,0,2,0,334,8,99
479,0,0,0,99,0,0,1,0,30,3,99
480,0,0,0,99,1,0,0,0,269,9,99
481,0,0,0,99,0,0,0,0,12,8,99
482,0,3,11,14,14,0,7,3,326,1,14
483,0,0,0,99,0,0,5,0,175,8,99
484,0,0,0,99,6,0,7,0,35,5,99
485,105,0,0,99,271,0,1,0,10,2,99
486,0,2,10,26,3,0,6,2,94,3,26
487,65,0,0,99,216,1,22,0,54,4,99
488,35,0,0,99,0,0,18,0,78,4,99
489,102,0,0,99,78,0,5,0,74,4,99
490,23,0,0,99,0,0,23,0,98,5,99
491,33,0,0,99,0,1,0,0,34,5,99
492,124,1,3,8,97,0,6,1,187,5,8
493,0,0,0,99,0,0,14,0,162,9,99
494,63,1,8,65,0,0,1,1,322,5,65
495,0,0,0,99,38,0,1,0,238,9,99
496,0,0,0,99,69,0,10,0,65,2,99
497,0,0,0,99,4,0,6,0,58,5,99
498,0,1,5,42,0,0,0,1,8,1,42
499,0,0,0,99,0,0,0,0,38,9,99
500,66,0,0,99,0,0,18,0,122,8,99
501,89,0,0,99,222,0,23,0,75,4,99
502,98,0,0,99,81,2,5,0,35,9,99
503,65,0,0,99,0,0,1,0,96,9,99
504,277,0,0,99,0,0,1,0,357,9,99
505,0,0,0,99,0,0,0,0,7,8,99
506,113,0,0,99,0,0,4,0,292,9,99
507,0,0,0,99,36,0,22,0,368,7,99
508,73,0,0,99,0,0,1,0,24,9,99
509,343,0,0,99,0,0,2,0,107,9,99
510,0,0,0,99,1,0,1,0,55,3,99
511,176,0,0,99,0,0,1,0,47,9,99
512,0,0,0,99,0,0,12,0,9,3,99
513,140,0,0,99,0,0,3,0,221,5,99
514,73,0,0,99,0,0,6,0,124,9,99
515,72,0,0,99,0,0,0,0,115,4,99
516,378,0,0,99,0,0,0,0,230,9,99
517,115,0,0,99,0,0,0,0,24,9,99
518,102,0,0,99,0,0,6,0,127,9,99
519,0,0,0,99,0,0,11,0,69,8,99
520,0,0,0,99,0,0,4,0,135,7,99
521,35,0,0,99,0,0,22,0,29,4,99
522,0,0,0,99,0,0,3,0,77,4,99
523,274,0,0,99,0,0,10,0,267,9,99
524,0,0,0,99,0,0,8,0,84,4,99
525,81,0,0,99,0,2,1,0,756,8,99
526,49,0,0,99,19,0,2,0,226,9,99
527,227,0,0,99,0,0,12,0,64,9,99
528,91,0,0,99,0,0,0,0,685,9,99
529,0,0,0,99,0,0,23,0,220,9,99
530,25,0,0,99,0,0,1,0,127,9,99
531,0,0,0,99,0,0,0,0,195,9,99
532,53,4,17,3,14,2,15,3,8,3,3
533,64,0,0,99,203,6,1,0,194,9,99
534,217,2,77,48,21,3,25,2,163,9,48
535,0,0,0,99,251,0,5,0,11,2,99
536,0,0,0,99,0,0,2,0,93,4,99
537,129,0,0,99,7,2,0,0,118,5,99
538,0,0,0,99,2,0,1,0,88,2,99
539,0,1,4,44,5,0,4,0,194,9,99
540,1,0,0,99,2,0,10,0,4,5,99
541,85,0,0,99,0,0,4,0,175,4,99
542,0,0,0,99,0,0,0,0,34,7,99
543,398,0,0,99,0,0,0,0,999,6,99
544,0,0,0,99,0,0,22,0,13,3,99
545,0,0,0,99,0,2,2,0,15,8,99
546,0,0,0,99,0,0,0,0,0,0,99
547,0,0,0,99,0,0,0,0,160,3,99
548,0,0,0,99,0,0,0,0,0,0,99
549,105,0,0,99,0,0,1,0,715,9,99
550,64,0,0,99,0,0,27,0,17,3,99
551,70,0,0,99,0,0,3,0,165,9,99
552,43,0,0,99,0,0,25,0,162,9,99
553,86,0,0,99,2,0,4,0,271,7,99
554,0,3,86,12,16,2,10,3,6,4,12
555,0,0,0,99,17,0,14,0,7,4,99
556,167,0,0,99,0,0,1,0,692,9,99
557,189,0,0,99,0,0,0,0,51,5,99
558,0,0,0,99,0,0,0,0,155,3,99
559,92,0,0,99,5,0,1,0,373,6,99
560,0,0,0,99,21,0,8,0,39,3,99
561,114,0,0,99,0,1,2,0,129,7,99
562,177,0,0,99,33,0,6,0,9,5,99
563,0,0,0,99,30,0,11,0,76,4,99
564,75,0,0,99,0,0,5,0,312,9,99
565,223,0,0,99,0,0,1,0,374,7,99
566,96,0,0,99,0,0,28,0,104,5,99
567,36,1,3,13,39,1,0,0,38,3,99
568,0,0,0,99,0,0,27,0,51,2,99
569,0,0,0,99,0,0,2,0,20,3,99
570,0,0,0,99,0,0,4,0,135,4,99
571,0,0,0,99,0,0,5,0,10,7,99
572,0,0,0,99,0,0,6,0,277,9,99
573,173,0,0,99,6,0,0,0,207,7,99
574,19,1,6,71,0,0,24,0,167,2,99
575,0,0,0,99,38,0,0,0,92,5,99
576,85,0,0,99,0,0,0,0,385,9,99
